Year Lat Lon PMDI
500 36.25 -108.25 -1.26
501 36.25 -108.25 -0.82
502 36.25 -108.25 1.14
503 36.25 -108.25 1.53
504 36.25 -108.25 3.35
505 36.25 -108.25 0.28
506 36.25 -108.25 -0.89
507 36.25 -108.25 -1.9
508 36.25 -108.25 -2.59
509 36.25 -108.25 0.1
510 36.25 -108.25 1.89
511 36.25 -108.25 -0.09
512 36.25 -108.25 -2.37
513 36.25 -108.25 -3.09
514 36.25 -108.25 0.83
515 36.25 -108.25 -2.38
516 36.25 -108.25 -3.53
517 36.25 -108.25 -2.77
518 36.25 -108.25 -0.53
519 36.25 -108.25 -0.86
520 36.25 -108.25 -2.39
521 36.25 -108.25 -0.45
522 36.25 -108.25 1.87
523 36.25 -108.25 4.19
524 36.25 -108.25 -0.69
525 36.25 -108.25 -1.26
526 36.25 -108.25 -4.84
527 36.25 -108.25 -1.23
528 36.25 -108.25 0.3
529 36.25 -108.25 0.1
530 36.25 -108.25 1.73
531 36.25 -108.25 -0.96
532 36.25 -108.25 0
533 36.25 -108.25 0.09
534 36.25 -108.25 1.47
535 36.25 -108.25 -1.05
536 36.25 -108.25 -2.77
537 36.25 -108.25 1.06
538 36.25 -108.25 0.61
539 36.25 -108.25 -2.11
540 36.25 -108.25 -0.35
541 36.25 -108.25 0.51
542 36.25 -108.25 -3.41
543 36.25 -108.25 -3.57
544 36.25 -108.25 1.54
545 36.25 -108.25 -0.38
546 36.25 -108.25 3.27
547 36.25 -108.25 4.93
548 36.25 -108.25 1.81
549 36.25 -108.25 2.46
550 36.25 -108.25 2.24
551 36.25 -108.25 3.03
552 36.25 -108.25 2.85
553 36.25 -108.25 -0.28
554 36.25 -108.25 -4.07
555 36.25 -108.25 2.37
556 36.25 -108.25 1.68
557 36.25 -108.25 1.36
558 36.25 -108.25 -0.76
559 36.25 -108.25 -0.24
560 36.25 -108.25 -0.64
561 36.25 -108.25 -2.82
562 36.25 -108.25 0.94
563 36.25 -108.25 -3.32
564 36.25 -108.25 -1.44
565 36.25 -108.25 -2.88
566 36.25 -108.25 -0.5
567 36.25 -108.25 0.75
568 36.25 -108.25 -2.67
569 36.25 -108.25 -3.43
570 36.25 -108.25 -0.62
571 36.25 -108.25 3.26
572 36.25 -108.25 2.69
573 36.25 -108.25 1.82
574 36.25 -108.25 5.11
575 36.25 -108.25 7.96
576 36.25 -108.25 2.24
577 36.25 -108.25 -0.18
578 36.25 -108.25 -2.57
579 36.25 -108.25 -0.85
580 36.25 -108.25 -0.96
581 36.25 -108.25 1.83
582 36.25 -108.25 1.46
583 36.25 -108.25 0.37
584 36.25 -108.25 -1.82
585 36.25 -108.25 0.03
586 36.25 -108.25 0.09
587 36.25 -108.25 2.48
588 36.25 -108.25 -2.18
589 36.25 -108.25 4.28
590 36.25 -108.25 -2.3
591 36.25 -108.25 -3.34
592 36.25 -108.25 2.21
593 36.25 -108.25 1.99
594 36.25 -108.25 1.99
595 36.25 -108.25 2.36
596 36.25 -108.25 -0.49
597 36.25 -108.25 -0.76
598 36.25 -108.25 1.3
599 36.25 -108.25 -1.55
600 36.25 -108.25 3.49
601 36.25 -108.25 2.86
602 36.25 -108.25 0.14
603 36.25 -108.25 -1.84
604 36.25 -108.25 -0.94
605 36.25 -108.25 1.01
606 36.25 -108.25 0.25
607 36.25 -108.25 -0.15
608 36.25 -108.25 2.66
609 36.25 -108.25 0.18
610 36.25 -108.25 -1.53
611 36.25 -108.25 -4.23
612 36.25 -108.25 -0.04
613 36.25 -108.25 -0.43
614 36.25 -108.25 -0.86
615 36.25 -108.25 -2.94
616 36.25 -108.25 -0.83
617 36.25 -108.25 0.4
618 36.25 -108.25 1.38
619 36.25 -108.25 -1.75
620 36.25 -108.25 -3.91
621 36.25 -108.25 3.35
622 36.25 -108.25 6.84
623 36.25 -108.25 1.1
624 36.25 -108.25 -0.47
625 36.25 -108.25 -1.78
626 36.25 -108.25 -1.72
627 36.25 -108.25 0.51
628 36.25 -108.25 2.45
629 36.25 -108.25 1.31
630 36.25 -108.25 -3.22
631 36.25 -108.25 -0.45
632 36.25 -108.25 -0.42
633 36.25 -108.25 -1.64
634 36.25 -108.25 -2.34
635 36.25 -108.25 1.25
636 36.25 -108.25 10.07
637 36.25 -108.25 2.67
638 36.25 -108.25 -0.43
639 36.25 -108.25 -1.99
640 36.25 -108.25 -2.04
641 36.25 -108.25 2.57
642 36.25 -108.25 -0.41
643 36.25 -108.25 0.34
644 36.25 -108.25 -0.53
645 36.25 -108.25 -5.26
646 36.25 -108.25 -3.65
647 36.25 -108.25 -1.78
648 36.25 -108.25 -1.42
649 36.25 -108.25 2.47
650 36.25 -108.25 1.55
651 36.25 -108.25 -1.44
652 36.25 -108.25 0.14
653 36.25 -108.25 0.33
654 36.25 -108.25 -0.5
655 36.25 -108.25 0.88
656 36.25 -108.25 4.24
657 36.25 -108.25 0.75
658 36.25 -108.25 -1.18
659 36.25 -108.25 -0.77
660 36.25 -108.25 -4.17
661 36.25 -108.25 -1.97
662 36.25 -108.25 -0.44
663 36.25 -108.25 -3.01
664 36.25 -108.25 -2.38
665 36.25 -108.25 2.38
666 36.25 -108.25 2.02
667 36.25 -108.25 3.4
668 36.25 -108.25 1.5
669 36.25 -108.25 -0.76
670 36.25 -108.25 0.68
671 36.25 -108.25 -0.12
672 36.25 -108.25 0.84
673 36.25 -108.25 5.52
674 36.25 -108.25 0.31
675 36.25 -108.25 0.09
676 36.25 -108.25 1.42
677 36.25 -108.25 -3.06
678 36.25 -108.25 -1.96
679 36.25 -108.25 1.25
680 36.25 -108.25 -0.73
681 36.25 -108.25 -1.09
682 36.25 -108.25 1.21
683 36.25 -108.25 3.24
684 36.25 -108.25 6.2
685 36.25 -108.25 1.87
686 36.25 -108.25 -3.19
687 36.25 -108.25 -1.2
688 36.25 -108.25 3.11
689 36.25 -108.25 8.33
690 36.25 -108.25 -1.56
691 36.25 -108.25 0.85
692 36.25 -108.25 -1.05
693 36.25 -108.25 1.17
694 36.25 -108.25 -0.7
695 36.25 -108.25 1.78
696 36.25 -108.25 0.68
697 36.25 -108.25 1.16
698 36.25 -108.25 -0.44
699 36.25 -108.25 0.68
700 36.25 -108.25 0.78
701 36.25 -108.25 -0.12
702 36.25 -108.25 -0.21
703 36.25 -108.25 -0.63
704 36.25 -108.25 -3.36
705 36.25 -108.25 -1.95
706 36.25 -108.25 -2.93
707 36.25 -108.25 -2.5
708 36.25 -108.25 1.31
709 36.25 -108.25 -2.41
710 36.25 -108.25 0.69
711 36.25 -108.25 -1.3
712 36.25 -108.25 -3.17
713 36.25 -108.25 0.45
714 36.25 -108.25 1.57
715 36.25 -108.25 0.02
716 36.25 -108.25 0.05
717 36.25 -108.25 -1.42
718 36.25 -108.25 -1.95
719 36.25 -108.25 2.52
720 36.25 -108.25 2.81
721 36.25 -108.25 -0.56
722 36.25 -108.25 -1.26
723 36.25 -108.25 -2.38
724 36.25 -108.25 -2.7
725 36.25 -108.25 1.35
726 36.25 -108.25 0.77
727 36.25 -108.25 0.79
728 36.25 -108.25 3.46
729 36.25 -108.25 0.77
730 36.25 -108.25 3.79
731 36.25 -108.25 5.28
732 36.25 -108.25 1.57
733 36.25 -108.25 1.75
734 36.25 -108.25 0.19
735 36.25 -108.25 -1.64
736 36.25 -108.25 -0.39
737 36.25 -108.25 0.69
738 36.25 -108.25 -5.23
739 36.25 -108.25 -2.69
740 36.25 -108.25 0.8
741 36.25 -108.25 -0.93
742 36.25 -108.25 -3.41
743 36.25 -108.25 -0.45
744 36.25 -108.25 -0.7
745 36.25 -108.25 -0.26
746 36.25 -108.25 1.12
747 36.25 -108.25 0.06
748 36.25 -108.25 -2.89
749 36.25 -108.25 0.91
750 36.25 -108.25 -1.01
751 36.25 -108.25 -3.69
752 36.25 -108.25 -0.54
753 36.25 -108.25 -0.03
754 36.25 -108.25 -0.51
755 36.25 -108.25 -0.11
756 36.25 -108.25 -1.25
757 36.25 -108.25 -2.81
758 36.25 -108.25 -0.38
759 36.25 -108.25 1.15
760 36.25 -108.25 -1.02
761 36.25 -108.25 -0.51
762 36.25 -108.25 -1.02
763 36.25 -108.25 -0.37
764 36.25 -108.25 -0.62
765 36.25 -108.25 1.8
766 36.25 -108.25 3.46
767 36.25 -108.25 -0.01
768 36.25 -108.25 3.26
769 36.25 -108.25 0.42
770 36.25 -108.25 -2.12
771 36.25 -108.25 -1.56
772 36.25 -108.25 3.41
773 36.25 -108.25 0.93
774 36.25 -108.25 -3.18
775 36.25 -108.25 -1.08
776 36.25 -108.25 1.25
777 36.25 -108.25 0.96
778 36.25 -108.25 -0.88
779 36.25 -108.25 -2.48
780 36.25 -108.25 3.05
781 36.25 -108.25 1.35
782 36.25 -108.25 -3.01
783 36.25 -108.25 0.16
784 36.25 -108.25 3.16
785 36.25 -108.25 2.67
786 36.25 -108.25 -0.92
787 36.25 -108.25 3.08
788 36.25 -108.25 0.6
789 36.25 -108.25 0.83
790 36.25 -108.25 -0.55
791 36.25 -108.25 -0.3
792 36.25 -108.25 2.31
793 36.25 -108.25 1.86
794 36.25 -108.25 0.73
795 36.25 -108.25 -2.04
796 36.25 -108.25 -0.36
797 36.25 -108.25 -2.33
798 36.25 -108.25 1.13
799 36.25 -108.25 0.36
800 36.25 -108.25 4.21
801 36.25 -108.25 2.08
802 36.25 -108.25 2.69
803 36.25 -108.25 5.32
804 36.25 -108.25 3.69
805 36.25 -108.25 1.18
806 36.25 -108.25 -0.17
807 36.25 -108.25 -2.14
808 36.25 -108.25 -1.71
809 36.25 -108.25 -5.53
810 36.25 -108.25 0.82
811 36.25 -108.25 0.51
812 36.25 -108.25 0.38
813 36.25 -108.25 2.36
814 36.25 -108.25 0.96
815 36.25 -108.25 0.51
816 36.25 -108.25 -1.43
817 36.25 -108.25 -2.9
818 36.25 -108.25 -3.38
819 36.25 -108.25 -2.64
820 36.25 -108.25 5.08
821 36.25 -108.25 8.05
822 36.25 -108.25 2.92
823 36.25 -108.25 -4.44
824 36.25 -108.25 -3.14
825 36.25 -108.25 -2.75
826 36.25 -108.25 0.76
827 36.25 -108.25 0.75
828 36.25 -108.25 1.91
829 36.25 -108.25 -3.86
830 36.25 -108.25 -2.64
831 36.25 -108.25 2.75
832 36.25 -108.25 0.5
833 36.25 -108.25 0.11
834 36.25 -108.25 -0.81
835 36.25 -108.25 -2.07
836 36.25 -108.25 -0.06
837 36.25 -108.25 -2.3
838 36.25 -108.25 -0.33
839 36.25 -108.25 -0.3
840 36.25 -108.25 -3.14
841 36.25 -108.25 -0.23
842 36.25 -108.25 0.96
843 36.25 -108.25 3.87
844 36.25 -108.25 0.13
845 36.25 -108.25 0.5
846 36.25 -108.25 -1.79
847 36.25 -108.25 -3.81
848 36.25 -108.25 0.06
849 36.25 -108.25 -0.71
850 36.25 -108.25 0.03
851 36.25 -108.25 -1.23
852 36.25 -108.25 1.8
853 36.25 -108.25 1.38
854 36.25 -108.25 2.62
855 36.25 -108.25 0.05
856 36.25 -108.25 1.42
857 36.25 -108.25 -2.05
858 36.25 -108.25 3.03
859 36.25 -108.25 0.05
860 36.25 -108.25 0.23
861 36.25 -108.25 0.22
862 36.25 -108.25 1.28
