year,total_population,total_monuments,total_exotics,total_conflicts,productivity,is_drought,pop_monument_builder,pop_balanced,pop_reproduction
801,0.0,0.0,0.0,0.0,0.8048780942717185,0.0,0.0,0.0,0.0
802,0.0,0.0,0.0,0.0,0.8364904994046825,0.0,0.0,0.0,0.0
803,0.0,0.0,0.0,0.0,0.9584681206569543,0.0,0.0,0.0,0.0
804,0.0,0.0,0.0,0.0,0.8833727290637124,0.0,0.0,0.0,0.0
805,0.0,0.0,0.0,0.0,0.7585136439785223,0.0,0.0,0.0,0.0
806,0.0,0.0,0.0,0.0,0.6923186175603575,0.0,0.0,0.0,0.0
807,0.0,0.0,0.0,0.0,0.5961919361930035,1.0,0.0,0.0,0.0
808,0.0,0.0,0.0,0.0,0.6190987354933069,1.0,0.0,0.0,0.0
809,0.0,0.0,0.0,0.0,0.42582854538528137,1.0,0.0,0.0,0.0
810,0.0,0.0,0.0,0.0,0.7394855582499601,0.0,0.0,0.0,0.0
811,0.0,0.0,0.0,0.0,0.7252630931274243,0.0,0.0,0.0,0.0
812,0.0,0.0,0.0,0.0,0.7188133705904718,0.0,0.0,0.0,0.0
813,0.0,0.0,0.0,0.0,0.8146545422873175,0.0,0.0,0.0,0.0
814,0.0,0.0,0.0,0.0,0.746114055005362,0.0,0.0,0.0,0.0
815,0.0,0.0,0.0,0.0,0.7240203092865714,0.0,0.0,0.0,0.0
816,0.0,0.0,0.0,0.0,0.6314558945248029,1.0,0.0,0.0,0.0
817,0.0,0.0,0.0,0.0,0.5604665616247059,1.0,0.0,0.0,0.0
818,0.0,0.0,0.0,0.0,0.5337426575132517,1.0,0.0,0.0,0.0
819,0.0,0.0,0.0,0.0,0.5687615422062364,1.0,0.0,0.0,0.0
820,0.0,0.0,0.0,0.0,0.9460145105935357,0.0,0.0,0.0,0.0
821,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
822,0.0,0.0,0.0,0.0,0.8466991761288001,0.0,0.0,0.0,0.0
823,0.0,0.0,0.0,0.0,0.4821608883289312,1.0,0.0,0.0,0.0
824,0.0,0.0,0.0,0.0,0.5457324999413569,1.0,0.0,0.0,0.0
825,0.0,0.0,0.0,0.0,0.5639437093391158,1.0,0.0,0.0,0.0
826,0.0,0.0,0.0,0.0,0.7349395312360221,0.0,0.0,0.0,0.0
827,0.0,0.0,0.0,0.0,0.7376648833447211,0.0,0.0,0.0,0.0
